week_start,vehicle_id,vehicle_type,fuel_type,gallons,distance_km,engine_hours,avg_speed_kph
2022-01-03,VH-001,Light Truck,Gasoline,52.24,671.8,20.4,59.2
2022-01-03,VH-002,Light Truck,Gasoline,54.32,761.5,22.9,58.2
2022-01-03,VH-003,Light Truck,Gasoline,47.54,505.5,17.9,53.1
2022-01-03,VH-004,Light Truck,Gasoline,45.21,549.3,19.2,56.2
2022-01-03,VH-005,Light Truck,Gasoline,54.42,662.3,22.3,58.8
2022-01-03,VH-006,Heavy Truck,Diesel,128.89,686.1,40.9,58.7
2022-01-03,VH-007,Heavy Truck,Diesel,125.76,710.7,35.5,63.8
2022-01-03,VH-008,Heavy Truck,Diesel,135.83,709.3,36.0,60.2
2022-01-03,VH-009,Heavy Truck,Diesel,126.8,935.5,45.6,60.2
2022-01-03,VH-010,Heavy Truck,Diesel,101.33,708.2,32.1,59.7
2022-01-03,VH-011,Van,Gasoline,44.81,569.7,20.4,47.9
2022-01-03,VH-012,Van,Gasoline,39.87,682.5,19.5,42.1
2022-01-03,VH-013,Van,Gasoline,34.51,549.1,18.3,44.4
2022-01-03,VH-014,Van,Diesel,34.95,425.2,16.3,48.4
2022-01-03,VH-015,Van,Diesel,41.08,510.5,21.7,45.3
2022-01-03,VH-016,SUV,Gasoline,32.77,420.0,15.2,57.6
2022-01-03,VH-017,SUV,Gasoline,31.66,404.7,14.1,55.0
2022-01-03,VH-018,SUV,Gasoline,31.67,409.9,14.5,59.0
2022-01-03,VH-019,SUV,Gasoline,,,19.1,58.3
2022-01-03,VH-020,SUV,Gasoline,33.14,444.2,18.2,61.5
2022-01-10,VH-001,Light Truck,Gasoline,46.32,544.1,21.8,58.9
2022-01-10,VH-002,Light Truck,Gasoline,53.36,602.2,23.5,57.3
2022-01-10,VH-003,Light Truck,Gasoline,44.95,592.9,18.0,58.3
2022-01-10,VH-004,Light Truck,Gasoline,44.88,630.1,21.1,52.4
2022-01-10,VH-005,Light Truck,Gasoline,62.72,756.6,23.1,55.2
2022-01-10,VH-006,Heavy Truck,Diesel,117.86,727.7,39.8,59.3
2022-01-10,VH-007,Heavy Truck,Diesel,101.44,712.3,33.2,66.0
2022-01-10,VH-008,Heavy Truck,Diesel,114.81,714.8,41.0,59.2
2022-01-10,VH-009,Heavy Truck,Diesel,151.21,847.4,42.2,64.8
2022-01-10,VH-010,Heavy Truck,Diesel,96.67,556.4,31.9,61.2
2022-01-10,VH-011,Van,Gasoline,46.5,644.0,22.0,42.1
2022-01-10,VH-012,Van,Gasoline,41.02,656.9,18.5,42.8
2022-01-10,VH-013,Van,Gasoline,37.29,492.8,16.5,48.0
2022-01-10,VH-014,Van,Diesel,39.28,377.5,14.8,48.6
2022-01-10,VH-015,Van,Diesel,52.02,542.6,22.4,42.6
2022-01-10,VH-016,SUV,Gasoline,29.46,460.4,14.0,56.9
2022-01-10,VH-017,SUV,Gasoline,27.35,471.8,14.0,57.3
2022-01-10,VH-018,SUV,Gasoline,32.48,442.7,14.7,54.8
2022-01-10,VH-019,SUV,Gasoline,41.36,571.0,18.2,60.3
2022-01-10,VH-020,SUV,Gasoline,35.23,518.4,18.0,54.8
2022-01-17,VH-001,Light Truck,Gasoline,43.52,566.3,20.7,56.5
2022-01-17,VH-002,Light Truck,Gasoline,48.5,770.1,21.2,55.8
2022-01-17,VH-003,Light Truck,Gasoline,44.2,596.8,19.0,58.8
2022-01-17,VH-004,Light Truck,Gasoline,50.55,572.1,19.7,56.5
2022-01-17,VH-005,Light Truck,Gasoline,53.41,776.2,21.4,54.6
2022-01-17,VH-006,Heavy Truck,Diesel,142.34,672.2,36.9,59.7
2022-01-17,VH-007,Heavy Truck,Diesel,124.38,769.3,34.1,58.6
2022-01-17,VH-008,Heavy Truck,Diesel,,,43.6,63.5
2022-01-17,VH-009,Heavy Truck,Diesel,148.47,785.9,43.8,66.4
2022-01-17,VH-010,Heavy Truck,Diesel,95.53,562.7,32.7,59.7
2022-01-17,VH-011,Van,Gasoline,46.22,555.9,20.6,43.3
2022-01-17,VH-012,Van,Gasoline,46.67,652.0,17.9,44.4
2022-01-17,VH-013,Van,Gasoline,33.37,568.9,17.8,43.3
2022-01-17,VH-014,Van,Diesel,36.88,366.7,14.6,41.9
2022-01-17,VH-015,Van,Diesel,51.69,491.5,22.4,45.6
2022-01-17,VH-016,SUV,Gasoline,28.71,445.7,16.6,60.7
2022-01-17,VH-017,SUV,Gasoline,31.65,395.6,13.4,54.3
2022-01-17,VH-018,SUV,Gasoline,31.6,421.8,14.5,54.8
2022-01-17,VH-019,SUV,Gasoline,,,19.2,61.5
2022-01-17,VH-020,SUV,Gasoline,36.37,490.3,18.2,60.8
2022-01-24,VH-001,Light Truck,Gasoline,51.78,578.8,21.5,51.6
2022-01-24,VH-002,Light Truck,Gasoline,57.7,629.1,23.8,54.7
2022-01-24,VH-003,Light Truck,Gasoline,48.05,532.2,17.1,52.3
2022-01-24,VH-004,Light Truck,Gasoline,52.02,704.5,19.3,56.2
2022-01-24,VH-005,Light Truck,Gasoline,62.04,726.2,25.5,51.6
2022-01-24,VH-006,Heavy Truck,Diesel,118.64,887.2,37.3,58.1
2022-01-24,VH-007,Heavy Truck,Diesel,121.51,659.1,35.8,62.1
2022-01-24,VH-008,Heavy Truck,Diesel,132.78,732.0,41.3,57.1
2022-01-24,VH-009,Heavy Truck,Diesel,140.74,900.8,44.5,63.7
